GII(Gender Inequality Index),Rank,Maternal_mortality,Adolescent_birth_rate,Seats_parliament,F_secondary_educ,M_secondary_educ,F_Labour_force,M_Labour_force,Population,Yearly Change,Net Change,Density,Land Area ,Migrants  (net),Fert.  Rate,Med.  Age,Urban  Pop %,World  Share,"GDP  (nominal, 2022)",GDP   growth,Population  (2022),GDP   per capita,Share of  World GDP
0.018,3,5,2.2,39.8,96.9,97.5,61.7,72.7,8796669,0.0064,56197,223,39516,39998,1.5,42,0.75,0.0011,8.08E+11,0.0206,8740472,92410,0.008
0.016,2,2,2.3,45,99.1,99.3,60.3,72,5474360,0.0074,40041,15,365268,27998,1.5,40,0.86,0.0007,5.79E+11,0.0328,5434319,106594,0.0058
0.043,8,4,5.4,47.6,99.8,99.7,61.7,70.5,375318,0.0065,2419,4,100250,380,1.7,36,0.88,0,27841648044,0.0644,372899,74663,0.0003
0.073,19,6,8.1,37.9,94.6,94.4,61.1,70.5,26439111,0.01,261698,3,7682300,139991,1.6,38,0.86,0.0033,1.68E+12,0.0362,26177413,64003,0.0167
0.013,1,4,1.9,39.7,95.1,95.2,57.7,66.7,5910913,0.0049,28652,139,42430,19999,1.7,41,0.88,0.0007,3.95E+11,0.0382,5882261,67220,0.0039
0.023,4,4,3.3,47,91.8,92.2,61.7,68,10612086,0.0059,62739,26,410340,39998,1.7,40,0.86,0.0013,5.86E+11,0.0264,10549347,55543,0.0058
0.074,21,5,5.9,27.3,88.1,86,56.5,68.6,5056935,0.0067,33826,73,68890,9999,1.8,38,0.64,0.0006,5.29E+11,0.1197,5023109,105362,0.0053
0.073,19,7,7.5,34.8,96.1,96.5,56.8,66,83294633,-0.0009,-75210,239,348560,155751,1.5,45,0.77,0.0104,4.07E+12,0.0179,83369843,48845,0.0405
0.025,5,5,2.8,39.1,89.8,92.7,62.4,71.3,17618299,0.0031,54285,522,33720,29998,1.6,42,0.92,0.0022,9.91E+11,0.0448,17564014,56429,0.0099
0.033,6,3,4.2,46,99,98.5,56.5,64,5545475,0.0009,4730,18,303890,13999,1.4,43,0.87,0.0007,2.81E+11,0.0208,5540745,50684,0.0028
0.048,10,5,5.3,42.9,87.2,89.7,49.8,58.8,11686140,0.0026,30210,386,30280,23999,1.6,41,0.99,0.0015,5.79E+11,0.0325,11655930,49640,0.0058
0.088,25,9,12.6,49.2,82,81.8,65.1,75.3,5228100,0.0083,42812,20,263310,12999,1.8,37,0.82,0.0006,2.47E+11,0.0216,5185288,47680,0.0025
0.069,17,10,7,34.4,100,100,60.8,69.7,38781291,0.0085,326964,4,9093510,249746,1.5,41,0.81,0.0048,2.14E+12,0.034,38454327,55646,0.0213
0.044,9,5,4.3,35,100,100,58.5,65.5,654768,0.0111,7169,253,2590,4883,1.4,39,0.88,0.0001,82274812251,0.0155,647599,127046,0.0008
0.098,27,7,10.5,31.1,99.8,99.8,58,67.1,67736802,0.0034,227866,280,241930,165790,1.6,40,0.85,0.0084,3.07E+12,0.041,67508936,45485,0.0305
0.083,22,5,2.9,14.2,95.9,92.7,53.3,71,123294513,-0.0053,-657179,338,364555,99994,1.3,49,0.94,0.0153,4.23E+12,0.0103,123951692,34135,0.0421
0.067,15,11,2.2,19,83.1,93.1,53.4,72.4,51784059,-0.0006,-31751,533,97230,29998,0.9,44,0.82,0.0064,1.67E+12,0.0256,51815810,32138,0.0166
0.179,44,19,16,27,96.5,96.4,55.2,66.4,339996563,0.005,1706706,37,9147420,999700,1.7,38,0.83,0.0423,2.55E+13,0.0206,338289857,75269,0.2532
0.083,22,3,7.6,28.3,91.6,93.7,58.5,66.1,9174520,0.0151,136211,424,21640,9999,2.9,29,0.92,0.0011,5.22E+11,0.0646,9038309,57758,0.0052
0.167,42,6,11.5,13.4,82.2,88.1,53.1,71.4,535064,0.0033,1778,1672,320,850,1.2,40,0.78,0.0001,17765270015,0.0685,533286,33313,0.0002
0.071,18,7,4.5,21.5,97.6,98.7,53.8,62.2,2119675,-0.0001,-169,105,20140,2000,1.6,44,0.55,0.0003,62117768015,0.0537,2119844,29303,0.0006
0.053,12,5,5.5,39.3,100,100,55.5,66.3,8958960,0.0022,19343,109,82409,19999,1.5,43,0.59,0.0011,4.71E+11,0.05,8939617,52732,0.0047
0.049,11,3,3.1,50,82,85.6,46.5,88,9516871,0.008,75742,114,83600,0,1.4,34,0.94,0.0012,5.08E+11,0.0741,9441129,53758,0.005
0.057,14,4,6.3,42.3,78.5,83.2,52.7,62.4,47519628,-0.0008,-39002,95,498800,39998,1.3,45,0.8,0.0059,1.40E+12,0.0545,47558630,29385,0.0139
0.083,22,8,9.5,37.8,83.5,87.9,51.9,59.7,64756584,0.002,129956,118,547557,67761,1.8,42,0.84,0.008,2.78E+12,0.0256,64626628,43061,0.0277
0.123,35,6,6.8,14.3,81.1,84.8,56.6,68.8,1260138,0.0069,8650,136,9240,5000,1.3,39,0.65,0.0002,28439052741,0.0563,1251488,22724,0.0003
0.056,13,2,4,35.3,78.6,86.1,39.9,57.6,58870762,-0.0028,-166712,200,294140,58496,1.3,48,0.72,0.0073,2.01E+12,0.0367,59037474,34053,0.02
0.1,28,9,8.8,25.7,97.6,98.1,57.5,70.2,1322765,-0.0025,-3297,31,42390,-1000,1.7,42,0.68,0.0002,38100812959,-0.0129,1326062,28732,0.0004
0.119,32,3,8.5,21.7,69.9,77.8,43.3,58.1,10341277,-0.0042,-43694,80,128900,5000,1.4,45,0.86,0.0013,2.19E+11,0.0591,10384971,21095,0.0022
0.109,31,2,9.7,27.5,86.5,90.7,49.2,65.5,41026067,0.0293,1168922,134,306230,-910475,1.5,40,0.55,0.0051,6.88E+11,0.0487,39857145,17266,0.0068
0.105,30,8,10.4,27.7,95.5,97.9,57.3,67.9,2718352,-0.0115,-31703,43,62674,-13128,1.6,44,0.71,0.0003,70334299008,0.0189,2750055,25576,0.0007
0.247,59,17,11.9,19.9,71.3,80.9,30.9,80.1,36947025,0.0148,538205,17,2149690,28998,2.4,31,0.83,0.0046,1.11E+12,0.0874,36408820,30436,0.011
0.067,15,8,7.4,40,59.7,61.9,54,62.2,10247605,-0.0023,-23260,112,91590,9999,1.4,46,0.67,0.0013,2.52E+11,0.0669,10270865,24530,0.0025
0.151,40,19,11.2,29,99.7,99.3,54.5,66.8,1830211,-0.011,-20440,29,62200,-7630,1.6,44,0.69,0.0002,41153912663,0.0198,1850651,22238,0.0004
0.093,26,8,8.6,31.1,97,100,45.9,58.8,4008617,-0.0054,-21741,72,55960,-2000,1.4,44,0.59,0.0005,70964606465,0.0633,4030358,17608,0.0007
0.187,47,13,24.1,32.7,80.3,83.5,44.2,65.5,19629590,0.0013,25857,26,743532,-71205,1.5,36,0.85,0.0024,3.01E+11,0.0244,19603733,15355,0.003
0.18,45,5,26.3,22.7,98.9,99.2,54.7,66.4,5795199,0.0269,151746,121,48088,-112067,1.6,40,0.51,0.0007,1.15E+11,0.0167,5643453,20461,0.0011
0.221,55,12,22.1,13.1,97.6,98.8,52.1,67.2,10156239,0.019,188931,112,90530,-156677,1.6,42,0.68,0.0013,1.79E+11,0.0458,9967308,17938,0.0018
0.287,69,39,39.1,44.4,71,71.4,50,71.6,45773884,0.0058,263566,17,2736690,3718,1.9,32,0.94,0.0057,6.33E+11,0.0524,45510318,13904,0.0063
0.119,32,6,10.4,24.7,92.3,99.2,47.8,62,626485,-0.001,-597,47,13450,-480,1.7,39,0.69,0.0001,6095978868,0.0609,627082,9721,0.0001
0.282,67,19,36.4,18.5,88.8,93.7,42.8,62.3,19892812,0.0119,233545,86,230170,-254616,1.7,41,0.53,0.0025,3.01E+11,0.0479,19659267,15324,0.003
0.329,78,70,25.7,20,87,89.9,65.6,71.5,412623,0.0064,2639,41,10010,1000,1.4,33,0.85,0.0001,12897400000,0.1437,409984,31458,0.0001
0.161,41,10,21.9,24.5,99.8,100,63.3,75.5,19606633,0.0108,208635,7,2699700,0,3,30,0.57,0.0024,2.21E+11,0.032,19397998,11373,0.0022
0.344,81,67,38.1,32.4,84.8,80.6,46.7,68,1534937,0.0025,3893,299,5130,-800,1.6,36,0.48,0.0002,27899082337,0.0248,1531044,18222,0.0003
0.256,60,27,37.1,45.6,56.2,54.5,47.5,71.1,5212173,0.006,31344,102,51060,3750,1.5,34,0.82,0.0006,68380838316,0.0431,5180829,13199,0.0007
0.235,58,17,36.2,26.2,59.6,55.5,54.8,69.3,3423108,0.0001,314,20,175020,-1500,1.5,36,0.99,0.0004,71177146197,0.0492,3422794,20795,0.0007
0.104,29,2,11.9,34.7,97.5,99,57.3,71.4,9498238,-0.0039,-36716,47,202910,-4282,1.5,41,0.8,0.0012,72793457588,-0.047,9534954,7634,0.0007
0.392,96,52,69.9,22.5,70.2,68.7,50.4,72.6,4468087,0.0135,59506,60,74340,7262,2.3,29,0.7,0.0006,76522511781,0.1081,4408581,17358,0.0008
0.228,57,29,9.3,14.9,75,78.4,51.2,77.6,34308525,0.0109,370304,104,328550,48997,1.8,31,0.78,0.0043,4.06E+11,0.0869,33938221,11972,0.004
0.28,66,25,31.7,19.3,97.1,98.3,51,68,3728282,-0.0043,-16103,54,69490,-9999,2.1,37,0.63,0.0005,24605375420,0.1011,3744385,6571,0.0002
0.347,82,61,24.6,20,64.4,70.8,43.4,70.4,1300557,0.0008,1088,641,2030,0,1.4,37,0.4,0.0002,12898307089,0.0869,1299469,9926,0.0001
0.131,36,12,14.9,39.2,88.6,95.3,46.6,62.3,7149077,-0.01,-72288,82,87460,-9999,1.5,43,0.69,0.0009,63501748652,0.0225,7221365,8794,0.0006
0.333,79,37,32.7,13.9,47.6,51.7,59,75,71801279,0.0015,104249,141,510890,18999,1.3,40,0.52,0.0089,4.95E+11,0.0259,71697030,6909,0.0049
0.144,39,15,14.5,35.7,95.4,93,50.7,66.2,2832439,-0.0035,-9882,103,27400,-8000,1.4,38,0.67,0.0004,18882095518,0.0484,2842321,6643,0.0002
0.21,52,10,38.6,23.8,94.9,96.5,49.1,62.6,6687717,-0.0139,-94236,62,108560,-4800,1.6,45,0.78,0.0008,89040398406,0.0336,6781953,13129,0.0009
0.268,64,27,42.3,29.4,95.4,86,56.1,63.7,281995,0.0013,360,656,430,-80,1.6,40,0.32,0,5637914515,0.1,281635,20019,0.0001
0.383,92,36,15.7,5.4,84,84.2,30.9,68.5,21893579,0.0028,61436,349,62710,-77495,2,33,0.19,0.0027,74403578363,-0.0782,21832143,3408,0.0007
0.136,38,10,9.9,24.6,82.7,94,32.3,52.4,3210847,-0.007,-22679,63,51000,-500,1.3,42,0.54,0.0004,24527507288,0.039,3233526,7585,0.0002
0.459,115,16,30.2,5.6,71.6,76,14.4,68.1,89172767,0.007,622197,55,1628550,-39998,1.7,33,0.74,0.0111,3.89E+11,0.0275,88550570,4388,0.0039
0.2,49,19,15.6,20.8,96.2,95.8,48.1,63.6,36744634,-0.0745,-2957105,63,579320,1784718,1.3,45,0.82,0.0046,1.61E+11,-0.291,39701739,4043,0.0016
0.134,37,7,16.4,41.7,61.9,75.1,42.4,63.4,2085679,-0.0038,-7920,83,25220,-1000,1.4,39,0.6,0.0003,13563132057,0.0215,2093599,6478,0.0001
0.192,48,29,11,24.9,78.3,85.4,61.6,74.3,1425671352,-0.0002,-215985,152,9388211,-310220,1.2,39,0.65,0.1772,1.80E+13,0.0299,1425887337,12598,0.1786
0.429,106,95,65.6,25.7,77.4,76.9,49.6,75.2,11332972,0.0093,104151,235,48320,-29099,2.2,28,0.85,0.0014,1.14E+11,0.0486,11228821,10121,0.0011
0.205,51,19,27.8,39.6,96.1,98,33.9,43.9,3435931,0.0498,162935,105,32850,-125204,1.8,35,0.5,0.0004,14420947884,-0.0595,3272996,4406,0.0001
0.38,90,88,56.8,40,59.3,69.9,66.1,81.9,34352719,0.0089,303131,27,1280000,-61442,2.1,29,0.79,0.0043,2.43E+11,0.0268,34049588,7126,0.0024
0.216,53,26,18.5,33.6,96,97.1,42.7,63,2777970,-0.0009,-2499,98,28470,-5000,1.6,35,0.67,0.0003,19502783988,0.126,2780469,7014,0.0002
0.309,75,33,54.4,49.8,65.1,66.7,43.8,75.4,128455567,0.0075,951442,66,1943950,-50239,1.8,30,0.88,0.016,1.41E+12,0.0306,127504125,11091,0.0141
0.39,94,60,45.2,14.8,62.4,59.1,49.1,68.2,216422446,0.0052,1108948,26,8358140,6000,1.6,34,0.88,0.0269,1.92E+12,0.029,215313498,8918,0.0191
0.424,102,83,59,19.6,58.9,56.5,52.2,78,52085168,0.0041,211144,47,1109500,-175051,1.7,32,0.81,0.0065,3.44E+11,0.075,51874024,6630,0.0034
0.348,83,53,7.3,4.6,46.4,41.5,34.3,67.5,521021,-0.0053,-2766,1737,300,-8652,1.7,32,0.39,0.0001,6189865408,0.123,523787,11818,0.0001
0.499,126,112,11.7,7.5,46,56.9,15.7,64.5,45606480,0.0157,703255,19,2381740,-9999,2.8,28,0.75,0.0057,1.92E+11,0.031,44903225,4274,0.0019
0.294,70,26,40.1,18.2,93.6,97.6,60.4,67.3,10412651,0.0053,54577,126,82658,0,1.7,32,0.57,0.0013,78721058824,0.0462,10358074,7600,0.0008
0.362,85,59,63.2,39.4,53,52,53.3,76.5,18190484,0.0105,189484,73,248360,-21525,2,28,0.64,0.0023,1.15E+11,0.0295,18001000,6391,0.0011
0.313,76,45,26.7,17.1,79.3,73,51.5,66.6,3447157,0.0144,48791,2,1553560,-850,2.7,27,0.67,0.0004,16810883361,0.0485,3398366,4947,0.0002
0.443,109,37,44.8,22.9,81.6,76.6,15.4,67.1,112716598,0.0156,1726495,113,995450,-29998,2.8,24,0.41,0.014,4.77E+11,0.0659,110990103,4295,0.0047
0.259,61,43,6.7,26.3,42.9,51.8,25.5,67.2,12458223,0.0083,102106,80,155360,-4000,2,32,0.69,0.0015,46664948952,0.0252,12356117,3777,0.0005
0.318,77,34,26.8,21.6,90.2,87.9,37.7,75.3,936375,0.0071,6609,51,18270,-3289,2.4,27,0.59,0.0001,4943248200,0.1612,929766,5317,0
0.427,105,120,56.1,29.4,69.9,70.7,43.4,65.1,623236,0.0084,5196,4,156000,-1000,2.3,28,0.63,0.0001,3620655116,0.0189,618040,5858,0
0.227,56,29,15.9,28.7,99.9,100,44.9,70.9,35163944,0.0155,536292,83,425400,-19999,2.8,27,0.49,0.0044,80391853885,0.0567,34627652,2322,0.0008
0.471,118,46,25.4,11.8,77.4,84.2,13.5,62.3,11337052,0.0045,51183,128,88780,-157392,2.7,24,0.85,0.0014,47451499859,0.025,11285869,4205,0.0005
0.259,61,72,6.9,16,70.5,45.1,34.1,61,6888388,0.0112,76047,4,1759540,-2000,2.4,27,0.82,0.0009,45752336036,-0.0124,6812341,6716,0.0005
0.445,111,84,70.3,16.8,52.5,54,59.6,84.2,6861524,0.0119,80780,17,397300,-12499,2.4,26,0.67,0.0009,41722295362,0.0008,6780744,6153,0.0004
0.381,91,117,36.9,24.1,49.9,43.8,63.2,73.2,180251,0.0022,394,295,610,0,1.4,34,0.19,0,2065027556,0.154,179857,11481,0
0.454,114,169,66.6,35.7,69.5,62.2,40.3,64.1,813834,0.0063,5108,4,196850,-3900,2.3,26,0.27,0.0001,15357537068,0.578,808726,18990,0.0002
0.405,97,119,61.2,46,68.9,87.7,46.2,59.9,60414495,0.0087,520610,50,1213090,58496,2.3,28,0.69,0.0075,4.06E+11,0.0204,59893885,6776,0.004
0.335,80,80,32.8,31,74.3,66.4,56.1,70,2825544,-0.0006,-1833,261,10830,-10999,1.3,32,0.59,0.0004,17097760745,0.042,2827377,6047,0.0002
0.418,99,43,43.6,7.8,79.1,71.6,30.7,54.2,225681,0.0148,3299,80,2830,-1500,3.8,21,0.16,0,832421565,-0.0602,222382,3743,0
0.541,140,252,91.2,18.7,67.2,84,39.1,57,2436566,0.0199,47574,9,257670,1000,3.4,22,0.85,0.0003,21071739228,0.0304,2388992,8820,0.0002
0.444,110,177,33.9,21,51,58.2,53.7,81.7,277534122,0.0074,2032783,153,1811570,-49997,2.1,30,0.59,0.0345,1.32E+12,0.0531,275501339,4788,0.0131
0.419,101,121,48.2,28,73.4,69.1,43.8,68.3,117337368,0.0154,1778359,394,298170,-69996,2.7,25,0.47,0.0146,4.04E+11,0.0757,115559009,3499,0.004
0.468,117,144,49.3,10.8,91.3,91.8,56.3,65.1,2675352,0.0171,45056,5,566730,3000,2.7,24,0.69,0.0003,20352322157,0.0578,2630296,7738,0.0002
0.418,99,155,63.8,48.2,60.1,69.7,68.3,83.8,12388571,0.0135,164461,11,1083300,-3000,2.5,24,0.69,0.0015,43068885673,0.0307,12224110,3523,0.0004
0.37,87,60,34.7,20.5,100,99.8,42.1,71.7,6735347,0.0158,104724,35,191800,-9999,2.9,24,0.37,0.0008,10930644915,0.0702,6630623,1649,0.0001
0.558,145,79,62.2,28.9,42,52.9,11.1,71.8,45504560,0.0227,1008438,105,434320,-6000,3.4,20,0.71,0.0057,2.64E+11,0.0701,44496122,5937,0.0026
0.285,68,17,45.4,23.4,93.5,94.6,30.2,50.5,10143543,0.0192,190756,72,139960,-19999,3.1,22,0.28,0.0013,10492123388,0.08,9952787,1054,0.0001
0.364,86,36,57.1,19.6,54.5,49.8,46.9,76.8,410825,0.0137,5553,18,22810,600,2,26,0.48,0.0001,2824081836,0.1213,405272,6968,0
0.425,104,70,25.9,20.4,30.9,37.1,22,66,37840044,0.0102,382073,85,446300,-39998,2.3,29,0.66,0.0047,1.34E+11,0.0108,37457971,3582,0.0013
0.376,88,46,55.9,27.4,42.7,51.4,43.6,72.6,6364943,0.0045,28551,307,20720,-23249,1.8,27,0.78,0.0008,32488720000,0.026,6336392,5127,0.0003
0.424,102,98,85.6,50.5,51.2,49.7,46.8,81.3,7046310,0.0141,97918,59,120340,-8000,2.3,25,0.56,0.0009,15671583878,0.0375,6948392,2255,0.0002
0.349,84,58,55.2,38.9,28.8,31.2,46.9,61.7,598682,0.0093,5533,149,4030,-1227,1.9,27,0.67,0.0001,2314816792,0.1771,593149,3903,0
0.53,131,173,75.5,20.9,50.6,58.5,34.9,78.8,172954319,0.0103,1767947,1329,130170,-309977,1.9,27,0.41,0.0215,4.60E+11,0.071,171186372,2688,0.0046
0.49,122,133,17.2,13.4,41.8,53.8,19.2,70.1,1428627663,0.0081,11454490,481,2973190,-486136,2,28,0.36,0.1776,3.39E+12,0.07,1417173173,2389,0.0337
0.529,130,308,64.2,14.5,58,73.2,64.5,72.2,34121985,0.0193,646115,150,227540,-9999,3.5,21,0.57,0.0042,72838798788,0.0324,33475870,2176,0.0007
0.481,121,95,64.1,19.4,29.5,35.8,37.4,80.3,18092026,0.0139,248118,169,107160,-9110,2.3,23,0.55,0.0022,95003333381,0.0412,17843908,5324,0.0009
0.431,107,65,72,27.3,35.8,44.8,42.3,78.9,10593798,0.0154,160938,95,111890,-5034,2.3,24,0.58,0.0013,31717700115,0.04,10432860,3040,0.0003
0.445,111,195,64.9,35.6,41.5,44.1,54.5,62.2,2604172,0.0145,37160,3,823290,-3916,3.2,21,0.6,0.0003,12607436976,0.0456,2567012,4911,0.0001
0.378,89,142,33.9,38.5,33.7,41.8,61,72.2,1360596,0.0144,19300,91,14870,-5000,3,21,0.35,0.0002,3163324631,-0.1749,1341296,2358,0
0.452,113,186,63.8,33.6,28.8,44.7,78.7,80.8,30896590,0.0114,349010,216,143350,-62012,2,24,0.22,0.0038,40828247302,0.0561,30547580,1337,0.0004
0.54,138,437,69.9,18.4,34,36.2,45.6,53.6,1210822,0.0076,9152,70,17200,-5268,2.8,22,0.31,0.0002,4854167638,0.0391,1201670,4040,0
0.461,116,160,45.5,19.8,18.3,31.7,74,85.9,16944826,0.0106,176984,96,176520,-29998,2.3,27,0.26,0.0021,29956769529,0.0516,16767842,1787,0.0003
0.532,134,458,94.3,34.6,61.8,72.4,79.3,88.9,16665409,0.0211,344872,43,386850,-9999,3.4,18,0.37,0.0021,20678055598,0.034,16320537,1267,0.0002
0.537,136,241,138.4,29.5,28.2,51.5,74,79.1,36684202,0.0308,1095215,29,1246700,-1000,5.1,16,0.68,0.0046,1.07E+11,0.0305,35588987,2999,0.0011
0.498,125,250,33,15,38.5,47.8,41,70,54577997,0.0074,398691,84,653290,-34998,2.1,30,0.33,0.0068,59364362541,0.03,54179306,1096,0.0006
0.565,148,529,110.4,31.1,36.8,55,70.2,80.7,28647293,0.0263,732757,61,472710,-4800,4.3,18,0.58,0.0036,44341646509,0.0354,27914536,1588,0.0004
0.506,128,342,64.2,23.2,31.1,37.7,71,75.6,55100586,0.0199,1073099,97,569140,-10000,3.2,20,0.31,0.0068,1.13E+11,0.0485,54027487,2099,0.0011
0.564,147,378,103.6,13.6,48,52,65.1,67.6,6106869,0.0229,136445,18,341500,-1000,4,18,0.7,0.0008,14615532210,0.0155,5970424,2448,0.0001
0.54,138,213,117,15.1,47.1,56.8,69.2,77.8,20569737,0.0276,552062,28,743390,-5000,4.2,17,0.46,0.0026,29784454056,0.0474,20017675,1488,0.0003
0.725,169,145,55.3,0,10.8,15.5,46.3,48.1,10329931,0.0185,187312,23,452860,-800,3.1,22,0.12,0.0013,30633444295,0.046,10142619,3020,0.0003
0.632,161,766,78,20.3,14.5,21.9,27.4,62.2,4862989,0.0268,126850,5,1030700,3000,4.3,18,0.61,0.0006,10375460680,0.052,4736139,2191,0.0001
0.613,155,617,105,15.6,23.9,32.2,45.9,64.9,28873034,0.0253,712492,91,318000,6000,4.3,18,0.52,0.0036,70018715017,0.0674,28160542,2486,0.0007
0.56,146,524,123.7,36.9,13,19.1,79.5,87.1,67438106,0.0296,1940358,76,885800,-39997,4.6,17,0.38,0.0084,75709289056,0.0456,65497748,1156,0.0008
0.534,135,140,42.3,19.9,22.1,28.7,20.7,78.1,240485658,0.0198,4660796,312,770880,-165988,3.3,21,0.35,0.0299,3.77E+11,0.0619,235824862,1597,0.0037
0.58,149,396,77.9,18.7,13.9,42.3,55.5,59.4,9053799,0.0232,205100,166,54390,-2000,4.1,19,0.44,0.0011,8126439481,0.0581,8848699,918,0.0001
0.635,163,480,52.5,2.7,27.9,41,60.7,68.9,11724763,0.0121,139767,425,27560,-31811,2.7,23,0.6,0.0015,20253551885,-0.0168,11584996,1748,0.0002
0.68,168,917,101.7,4.5,40.4,55.3,47.9,59.6,223804632,0.0241,5263420,246,910770,-59996,5.1,17,0.54,0.0278,4.77E+11,0.0325,218541212,2184,0.0047
0.388,93,248,32.4,55.7,11.4,16.3,82.5,82.2,14094683,0.0231,317985,571,24670,-8999,3.7,19,0.18,0.0018,13312796765,0.0816,13776698,966,0.0001
0.602,152,397,92.3,8.4,21.1,34.4,69.3,72.6,13712828,0.027,359964,122,112760,-200,4.8,18,0.48,0.0017,17401746309,0.0625,13352864,1303,0.0002
0.53,131,375,107.9,33.8,29.3,36.3,64.2,71.3,48582334,0.0282,1332749,243,199810,-126181,4.4,16,0.29,0.006,45559202049,0.0465,47249585,964,0.0005
0.557,144,544,89.6,22.9,27.2,24.6,56.1,71.3,2330318,0.0106,24493,77,30360,-4000,2.9,22,0.31,0.0003,2553459763,0.0059,2305825,1107,0
0.554,142,349,117.9,22.9,21.3,28.4,71.6,80,20931751,0.0258,526434,222,94280,-6000,3.8,17,0.19,0.0026,13164667627,0.0092,20405317,645,0.0001
0.53,131,315,66.5,43,11.1,30.9,33.5,56.7,17763163,0.0258,446714,92,192530,-19999,4.3,18,0.52,0.0022,27684430244,0.0415,17316449,1599,0.0003
0.553,141,295,79.9,31,16.4,20.1,28.7,67.8,48109006,0.0263,1234802,27,1765048,-9999,4.3,19,0.35,0.006,51662241775,-0.0095,46874204,1102,0.0005
0.556,143,335,119.4,17.2,27.3,29.8,81.5,87.6,30325732,0.0241,714018,52,581795,-1500,3.7,19,0.4,0.0038,14954967604,0.038,29611714,505,0.0001
0.611,153,597,63.2,8.6,29.9,43.2,48.9,66.3,2773168,0.0248,67176,274,10120,-3000,4.5,17,0.58,0.0003,2273060863,0.0492,2705992,840,0
0.52,129,401,69.2,39.5,9.1,20.1,72.3,84.7,126527060,0.0255,3147136,127,1000000,-11999,4,19,0.22,0.0157,1.27E+11,0.0532,123379924,1028,0.0013
0.627,159,667,87.5,13.7,9.8,22.8,63.9,78.4,2150842,0.0215,45276,76,28120,-1400,3.8,19,0.45,0.0003,1633559092,0.035,2105566,776,0
0.648,164,661,123.4,9.7,20.8,39.2,69.8,79.7,5418377,0.0218,115696,56,96320,-5000,4,18,0.54,0.0007,4001047150,0.0481,5302681,755,0
0.601,151,473,109,14.3,40.3,69.1,61.2,69.1,6106869,0.0229,136445,18,341500,-1000,4,18,0.7,0.0008,14615532210,0.0155,5970424,2448,0.0001
0.633,162,1120,100.9,12.3,34.7,51.5,56.1,55.9,8791092,0.0215,185374,122,72180,-4000,3.8,19,0.43,0.0011,3970343852,0.035,8605718,461,0
0.621,157,576,114.8,16.7,7.2,19.7,62.1,62.2,14190612,0.0239,331271,58,245720,-4000,4.2,18,0.4,0.0018,21227749389,0.047,13859341,1532,0.0002
0.621,157,320,110.5,6.3,11.3,17.1,57.2,72.7,23251485,0.0255,577723,85,273600,-24998,4.6,17,0.32,0.0029,18884619613,0.0148,22673762,833,0.0002
0.537,136,289,165.8,42.4,10.8,20.2,77.7,78.9,33897354,0.0281,927836,43,786380,-5000,4.5,17,0.4,0.0042,17851491428,0.0415,32969518,541,0.0002
0.613,155,562,150.1,27.3,8,15.5,57.7,79.7,23293698,0.031,700108,19,1220190,-39998,5.8,15,0.44,0.0029,18827176532,0.0369,22593590,833,0.0002
0.505,127,548,53.6,38.9,7.8,13,79,77.4,13238559,0.0271,348983,516,25680,2000,4.9,16,0.15,0.0016,3073414678,0.0185,12889576,238,0
0.672,166,829,160.5,12.9,13.9,31.6,63.3,79.5,5742315,0.0292,163171,9,622980,-14716,5.8,15,0.4,0.0007,2382618615,0,5579144,427,0
0.611,153,509,170.5,25.9,9.2,15.2,61.7,84.3,27202843,0.038,994866,21,1266700,1000,6.7,15,0.17,0.0034,13969605583,0.115,26207977,533,0.0001
0.652,165,1140,138.3,32.3,7.7,24.4,46.9,69.9,18278568,0.0313,555253,15,1259200,-2000,6.1,15,0.24,0.0023,12704149842,0.0224,17723315,717,0.0001
